sku,filename,human_classification,allowed_to_change,sha256_before
W135,W135.png,acceptable variation,False,c5a1c9bbaed4c32dc8711afc77d9baaf8cfdf1d3801c439a6cc973a450836f95
WW719,WW719.png,true failure,True,b34fce77f700e589f30194714ffcaea495e8b827f1f263287802c872fbf66371
WW595,WW595.png,true failure,True,ac17dafcca289850cc3aecabdff16994bcb5ebd54bddd319cc02179733101abf
WW67,WW67.png,true failure,True,0da3f69c9cc5cc077b0a88bb3afdcd00137834205da108c7e0019635f2563284
W126,W126.png,acceptable variation,False,d810efd45dd05391964cda699089d145087918b1e4d8d9fc3b03db4ffae71f2a
W112,W112.png,acceptable variation,False,ecf75c2b36975e64037e4df5e441501543168a27a8df07cde41b153794805b37
W1247,W1247.png,true failure,True,21155ab4d0f603f7af8606d8e74558c62fac67776b5160e4309931d35d33d6dd
WWNG0A49022,WWNG0A49022.png,approved,False,1f763dd285571983993bf73c579b17bc672f3a111d1160b254c2d7d5e432f7b7
W1115,W1115.png,acceptable variation,False,cfa1c5130a71075ba638eba3fcdd5be34fed6dfde4d0197939d155fdfa024ca1
WWNM224270-0001,WWNM224270-0001.png,approved,False,83b9af0339a70038113ab57da066094d916dc084e12ed5dd56364f25aefa1ca2
WW824,WW824.png,true failure,True,5cca370936d2c98084e0df4937b3aee87ee60a71c37155d15e4645ebedd2e0e3
WWN311.92.44.51.01.005,WWN311.92.44.51.01.005.png,acceptable variation,False,62298ff4ad4cf16131cf7152eee94c5cb6af26f26b195f8d7b03505b945e0415
WWN298617-3001,WWN298617-3001.png,approved,False,dd416a40ed64971fd58a020d2ab2f88c45fb5a8c6e14425401109fa06b43bf9d
W123,W123.png,acceptable variation,False,0e3821cf9a86d8a6cff2812ac598ff0e3462ccb137758a2dfa9cb3efc389b35d
WW416,WW416.png,true failure,True,040d68cae600f272572eaeebe4c0d40dfea7efca2bac811b64814d3412917fa1
W1156,W1156.png,acceptable variation,False,adf7779e3b431bb864e7ce945cf054d954855750a72bfd782cff808cd65d4062
W118,W118.png,true failure,True,8a2a19ba80040a80deebb90ce3f6d45de570f5de6ad6fc26723780106f05558c
WWNG0A48022,WWNG0A48022.png,approved,False,f627b512ff32476900fc51b92047a69cbd10023e53c245625ef7fb04d4e158b1
W111,W111.png,true failure,True,d07463785bb1bd76245f283ad67847e43d2d6ea46839e4461fd9a671f94ffced
W1102,W1102.png,true failure,True,c82593a3ecdab93b8a3b03fb4c94ba4229e470b35351be9deaf0bc2b461a45df
WL7,WL7.png,true failure,True,51d8a80294664f359e30b087b17da796fc22f2473af293154b030ddf4cb28841
W1240,W1240.png,true failure,True,40c0537cb535d4f3f57f7dda69c14cf44bf9c89e93e8ce6fd8281fde7a6524af
W1223,W1223.png,true failure,True,347bbd40bb9c7147667d68522b87b2d04c20f64dd2135164dba705fa9eac9b45
WWN03.3400.3610/39.C910,WWN03.3400.3610-39.C910.png,approved,False,b404371ee3275a24ac956f6a3023c51f92bde3a2ee23bb60c0559fb2b0a01e86
WWNG0A43081-CD,WWNG0A43081-CD.png,approved,False,a152e6ca8d787c40d0b0269fde82312be1ce14a7a3df5f6efcc381aaa18b515b
WW231,WW231.png,true failure,True,6c8bd590587ce7e575285a6c3d56f5e709e4d0e48c74ce3df8566f491b747355
WW404,WW404.png,true failure,True,401b99f4fc528552eab67381fbdab80741f84d0b432434b8cfb9d7a84863caad
WWN278608-6013,WWN278608-6013.png,acceptable variation,False,a79492d698b84b9901e89345834b55ba2f032afd3a33511554d8bdfa52978606
W191,W191.png,acceptable variation,False,e881e77ad1f682901a2bc9648bbd4b719be948cfa5ecca8acca85c3cb4451b0c
WL12,WL12.png,acceptable variation,False,31c42baf352796eb8ab417f6f844c2ea1c6b93c18889a22dbac528acba7595c2
W1252,W1252.png,true failure,True,034550ac83b248ee06501d6d224774b67005f625a0fa955355de96811965ad7a
WW278,WW278.png,true failure,True,390fbb2367773a0339a0fd349b17e97ab2ab1a9b5f149a84dd5ad80ad7d58936
W17,W17.png,approved,False,e3488d8dda8180f0b31d7c59306f53697f8abce253edfc9d322e0f19c05f889f
WWNG0A50301,WWNG0A50301.png,acceptable variation,False,df64c295d57bf2b7bbc7f8815b73d366906c9458873cf9c3b63ff06703dfcd3d
WWN215.92.46.21.01.001,WWN215.92.46.21.01.001.png,true failure,True,a0d82b1d4e8e71293c5b2d6edcaebb41ea7698572ede75359b3595e47b73a817
W1116,W1116.png,acceptable variation,False,35d5d463fa3e54b5357b8c1d06f42245dc64941aeaad047193eac055d863fa8f
WWNCDW2150.FC8360,WWNCDW2150.FC8360.png,acceptable variation,False,cd31d8eb604319b7118d59fb8b51e9fff5dae7b0907dae129d1ddb3a2e9f5336
W1216,W1216.png,acceptable variation,False,7d9b6e9084b5b75e72d4c7c096b0594b94282d7047f866bbf1fc1e6057dcc297
W1200,W1200.png,acceptable variation,False,2a45347eec7808d73850cc45cbd8e6fb9b30f79009d32a497c7c68af4d49f8a1
W1131,W1131.png,true failure,True,e75aaf5ffabcba20f09c48b985b7404cbcaea59ca0d39c669a5b072dc48d546f
WW70,WW70.png,true failure,True,48434f5b274ed7a73ddaf86bcb4a06513fbc4b3bbf66dd6d14bfb5fae4b47371
W1199,W1199.png,true failure,True,eddcdeede70b5046c5fd13554111cbf4ce9db3a61ed098170f1c5ba49af579a9
WWN274189-5001-CD,WWN274189-5001-CD.png,acceptable variation,False,fcb1a85231e868faaedbc9c36f094b121bbf2bcbd03ebe821d506a8d773bf564
W1243,W1243.png,true failure,True,42a113d83fd3fc2e31db9155612a48d9b50ecaee478ece7532c5af0b0cf403d4
W1221,W1221.png,acceptable variation,False,4b52bdf9901cbcb6c3cddc5df6f7df8085ab6e2bb20fb43761b8af821fd1f169
W136,W136.png,true failure,True,83660c768ec18e0a0576078d0d2ab4cd17163e66ec3b40541b2579513b19b9db
W125,W125.png,acceptable variation,False,99978189f142b4c44a24218070aea1cd6e2dfbcf1e29cdd140e3aabaaf20785b
WWNQ1248420,WWNQ1248420.png,approved,False,80a79c412bd0b06392e21b634cd92f0d18e4c75b0089d2a3555cae6731c0f01b
W1206,W1206.png,true failure,True,244e9df86095cb00c1243df729b3f736987a28d590bb8d6504695a9e90f3a6bf
WWNCBS2016.EB0430,WWNCBS2016.EB0430.png,approved,False,2c79454f2b5b2dffea35bb9c7b72a7154bfd42616f0f809ab547c7a2015857f7
WWN8880 SC DT AC,WWN8880 SC DT AC.png,acceptable variation,False,bfd847c1b070b2c72d77751e4cc74adcda318a5d5fabc7e10df065f3affe5c5f
WWNG0A48390-CD2,WWNG0A48390-CD2.png,acceptable variation,False,b210759771bab3759ac1596166cd3447c44d3f08474df2dc241af1553037482f
W195,W195.png,acceptable variation,False,3f054b4a17c99742d82d4f1d05cb131d3f1ec0eb8356bf9e96a4bda4504e50eb
WW374,WW374.png,true failure,True,72078f66598d80e69ad3f1cd5639ede06012054d0ea50ee32b52cfef70b71ac3
WW405,WW405.png,acceptable variation,False,acfd4e7936f413c551a732e6c7904345c4511c8529ab08c4dd6b5c9cc3c1d492
W1209,W1209.png,acceptable variation,False,7af43b51f7e927ac5757e68fa3e1650dca7b81d91701ad4f9a40e6345794e539
WL1,WL1.png,true failure,True,bd04a868196ef72d7f37c39f3371024ed2c29a190b53d3b5221e8b5a54802b85
WL0,WL0.png,acceptable variation,False,4dff8f68145d05fa26d7e769fccde2389123407426d946056bc65287d9dd6de6
